time_ps,lig_rmsd_A,com_drift_A
0.0,1.196,0.710
50.0,1.213,0.674
100.0,1.228,0.898
150.0,1.100,0.415
200.0,3.816,1.883
250.0,1.586,0.495
300.0,2.066,0.942
350.0,1.811,1.182
400.0,1.622,1.103
450.0,0.978,0.270
500.0,1.612,0.664
550.0,1.351,0.473
600.0,1.414,0.485
650.0,1.666,0.818
700.0,1.716,1.220
750.0,1.819,1.301
800.0,1.502,1.058
850.0,2.165,1.614
900.0,2.491,1.920
950.0,2.247,1.674
1000.0,2.175,1.342
1050.0,2.409,1.709
1100.0,2.386,2.046
1150.0,2.338,1.770
1200.0,2.301,1.694
1250.0,2.292,2.026
1300.0,2.067,1.697
1350.0,1.862,1.344
1400.0,1.871,1.264
1450.0,2.152,1.627
1500.0,1.866,1.171
1550.0,2.086,1.718
1600.0,1.863,1.312
1650.0,1.691,1.036
1700.0,3.089,2.556
1750.0,2.081,1.516
1800.0,2.729,2.072
1850.0,2.392,1.906
1900.0,2.892,2.305
1950.0,2.104,1.801
