rank,ligand,best_score,n_poses,all_scores
1,EGFRm-003,-9.22,5,-9.22;-9.02;-8.81;-8.59;-8.55
2,EGFRm-014,-9.002,5,-9.00;-8.69;-8.63;-8.43;-8.29
3,EGFRm-012,-8.917,5,-8.92;-8.90;-8.72;-8.66;-8.50
4,EGFRm-006,-8.736,5,-8.74;-8.71;-8.55;-8.52;-8.36
5,EGFRm-004,-8.715,5,-8.71;-8.71;-8.63;-8.19;-8.04
6,EGFRm-008,-8.596,5,-8.60;-8.59;-8.41;-8.37;-8.15
7,EGFRm-007,-8.555,5,-8.55;-8.20;-8.05;-7.88;-7.71
8,EGFRm-010,-8.503,5,-8.50;-7.89;-7.71;-7.42;-7.34
9,EGFRm-002,-8.237,5,-8.24;-8.20;-8.14;-8.03;-7.96
10,EGFRm-009,-8.22,5,-8.22;-8.07;-7.76;-7.73;-7.68
